food_name,category,calories,protein,carbs,fat,iron,vitamin_c,protein_per_100_cal
Fried green tomatoes,Fried vegetables,216.0,3.68,21.78,12.84,1.64,6.2,1.7037037037037037
Tomato juice cocktail,Vegetable juice,22.0,0.93,3.87,0.31,0.28,54.3,4.2272727272727275
"Rice, white, with tomatoes and/or tomato-based sauce, fat added",Rice mixed dishes,107.0,2.0,19.41,2.18,0.97,4.1,1.8691588785046727
"Tomatoes, canned, cooked",Tomatoes,43.0,0.82,3.23,3.04,0.56,12.2,1.9069767441860463
"Tomatoes, fresh, cooked",Tomatoes,50.0,1.08,4.71,3.42,0.33,15.8,2.16
Bacon and tomato dressing,Salad dressings and vegetable oils,326.0,1.8,2.0,35.0,0.27,8.8,0.5521472392638037
"Beans and rice, with tomatoes","Bean, pea, legume dishes",137.0,4.7,21.9,3.46,1.46,1.5,3.43065693430657
Pork with chili and tomatoes,Meat mixed dishes,95.0,11.64,2.68,3.99,0.58,16.7,12.25263157894737
"Soup, cream of tomato","Soups, cream-based",70.0,1.21,6.39,4.68,0.6,6.0,1.7285714285714286
"Soup, tomato, canned","Soups, broth-based",34.0,0.63,7.65,0.33,0.44,2.8,1.852941176470588
Stewed potatoes with tomatoes,Mashed potatoes and white potato mixtures,87.0,1.71,12.89,3.29,0.36,15.1,1.9655172413793103
"Onions, raw",Onions,38.0,0.86,8.46,0.08,0.24,8.2,2.263157894736842
"Bread, onion",Yeast breads,238.0,8.81,44.32,2.95,3.11,0.9,3.7016806722689073
"Onions, green, raw",Onions,32.0,1.83,7.34,0.19,1.48,18.8,5.71875
"Onions, green, cooked",Onions,63.0,2.09,8.37,3.21,1.69,18.2,3.3174603174603168
"Onions, pearl, cooked",Onions,50.0,0.7,6.49,2.59,0.33,4.9,1.4
"Onion dip, regular","Dips, gravies, other sauces",346.0,2.15,3.92,35.77,0.1,0.9,0.6213872832369942
"Onion dip, light","Dips, gravies, other sauces",166.0,2.0,11.87,12.36,0.1,0.9,1.2048192771084338
"Bread, onion, toasted",Yeast breads,262.0,9.68,48.7,3.24,3.41,0.8,3.6946564885496183
Fried onion rings,Fried vegetables,352.0,4.19,39.94,19.82,0.96,1.5,1.1903409090909092
Onion flavored rings,"Tortilla, corn, other chips",499.0,7.7,65.1,22.6,3.72,1.8,1.5430861723446896
"Onions, cooked, as ingredient",Not included in a food category,47.0,1.29,10.99,0.12,0.25,7.4,2.74468085106383
"Onions, dehydrated flakes",Vegetables and Vegetable Products,349.0,8.95,83.3,0.46,1.55,75.0,2.5644699140401146
"Onions, for use on a sandwich",Vegetables on a sandwich,38.0,0.86,8.46,0.08,0.24,8.2,2.263157894736842
"Onions, red, raw",Vegetables and Vegetable Products,44.0,0.94,9.93,0.1,0.24,8.1,2.1363636363636362
"Onions, sweet, raw",Vegetables and Vegetable Products,32.0,0.8,7.55,0.08,0.26,4.8,2.5
"Onions, welsh, raw",Vegetables and Vegetable Products,142.0,1.9,6.5,0.4,1.22,27.0,1.3380281690140845
"Onions, yellow, raw",Vegetables and Vegetable Products,38.0,0.83,8.61,0.05,0.28,8.2,2.1842105263157894
Garlic sauce,"Dips, gravies, other sauces",683.0,1.43,2.87,74.02,0.22,1.0,0.20937042459736455
"Garlic, cooked",Mustard and other condiments,142.0,6.58,28.03,0.38,1.69,8.0,4.633802816901408
"Garlic, raw",Mustard and other condiments,143.0,6.62,28.2,0.38,1.7,10.0,4.629370629370629
"Roll, garlic",Rolls and buns,309.0,10.84,51.92,6.44,3.71,0.2,3.5080906148867315
"Garlic bread, frozen",Baked Products,1460.0,8.36,41.7,16.6,3.05,0.2,0.5726027397260274
"Garlic bread, NFS",Yeast breads,349.0,8.34,41.64,16.58,3.04,0.2,2.3896848137535818
"Garlic bread, from frozen",Yeast breads,350.0,8.36,41.72,16.61,3.05,0.2,2.3885714285714283
"Garlic bread, from fast food / restaurant",Yeast breads,349.0,8.34,41.64,16.58,3.04,0.2,2.3896848137535818
"Garlic bread, with melted cheese, from frozen",Yeast breads,343.0,10.36,36.86,17.1,2.68,0.2,3.020408163265306
"Garlic bread, with parmesan cheese, from frozen",Yeast breads,351.0,8.78,41.14,16.83,3.0,0.2,2.501424501424501
"Shrimp in garlic sauce, Puerto Rican style",Seafood mixed dishes,281.0,11.56,2.45,24.96,0.41,12.0,4.1138790035587185
"Garlic bread, with parmesan cheese, from fast food / restaurant",Yeast breads,351.0,8.76,41.06,16.8,2.99,0.2,2.4957264957264957
"Garlic bread, with melted cheese, from fast food / restaurant",Yeast breads,339.0,11.41,34.21,17.34,2.48,0.2,3.365781710914454
"Fast foods, breadstick, soft, prepared with garlic and parmesan cheese",Fast Foods,1430.0,12.2,44.5,12.9,4.65,0.0,0.8531468531468531
"HORMEL ALWAYS TENDER, Pork Loin Filets, Lemon Garlic-Flavored",Pork Products,492.0,17.8,1.79,4.16,0.6,1.7,3.6178861788617884
"Abiyuch, raw",Fruits and Fruit Juices,290.0,1.5,17.6,0.1,1.61,54.1,0.5172413793103449
